Model Year,Make,Model,Electric Vehicle Type,CAFV,Electric Range,Electric Utility
2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.912386707,PACIFICORP
2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.652567976,PACIFICORP
2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PUGET SOUND ENERGY INC
2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.096676737,PUGET SOUND ENERGY INC
2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.616314199,PUGET SOUND ENERGY INC
2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.438066465,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,PUGET SOUND ENERGY INC
2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.586102719,PUGET SOUND ENERGY INC
2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.700906344,PUD NO 1 OF CHELAN COUNTY
2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.703927492,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.438066465,PUGET SOUND ENERGY INC
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.64652568,PUGET SOUND ENERGY INC
2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.208459215,PUGET SOUND ENERGY INC
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,PUGET SOUND ENERGY INC
2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PUGET SOUND ENERGY INC
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.64652568,PUD NO 2 OF GRANT COUNTY
2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.060422961,PUGET SOUND ENERGY INC
2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.141993958,PUGET SOUND ENERGY INC
2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.039274924,PACIFICORP
2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,PACIFICORP
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,PUGET SOUND ENERGY INC
2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.072507553,PUGET SOUND ENERGY INC
2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.096676737,AVISTA CORP
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.64652568,PUGET SOUND ENERGY INC
2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.86102719,PUGET SOUND ENERGY INC
2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.700906344,PUGET SOUND ENERGY INC
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,PUGET SOUND ENERGY INC
2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.435045317,PUGET SOUND ENERGY INC
2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.141993958,PUGET SOUND ENERGY INC
2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PUGET SOUND ENERGY INC
2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PACIFICORP
2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PACIFICORP
2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.208459215,PUGET SOUND ENERGY INC
2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.024169184,PUGET SOUND ENERGY INC
2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.208459215,PUGET SOUND ENERGY INC
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.64652568,PUGET SOUND ENERGY INC
2019,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.069486405,PACIFICORP
2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.036253776,PUGET SOUND ENERGY INC
2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.700906344,PUGET SOUND ENERGY INC
2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.700906344,PUD NO 1 OF CHELAN COUNTY
2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PUGET SOUND ENERGY INC
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.64652568,PUGET SOUND ENERGY INC
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.64652568,PUD NO 1 OF CHELAN COUNTY
2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.703927492,PUGET SOUND ENERGY INC
2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.854984894,PUGET SOUND ENERGY INC
2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.438066465,PUGET SOUND ENERGY INC
2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.854984894,PUGET SOUND ENERGY INC
2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.435045317,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.208459215,PUGET SOUND ENERGY INC
2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.048338369,PUGET SOUND ENERGY INC
2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.262839879,PUGET SOUND ENERGY INC
2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.435045317,PUGET SOUND ENERGY INC
2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PUGET SOUND ENERGY INC
2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.435045317,PUGET SOUND ENERGY INC
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.64652568,PUGET SOUND ENERGY INC
2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.03021148,AVISTA CORP
2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.435045317,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.86102719,PUGET SOUND ENERGY INC
2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.86102719,PUD NO 1 OF DOUGLAS COUNTY
2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.978851964,PUGET SOUND ENERGY INC
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.64652568,PUGET SOUND ENERGY INC
2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.208459215,MODERN ELECTRIC WATER COMPANY
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,PUGET SOUND ENERGY INC
2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PUGET SOUND ENERGY INC
2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.036253776,AVISTA CORP
2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.036253776,PACIFICORP
2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.262839879,PUGET SOUND ENERGY INC
2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.057401813,PUGET SOUND ENERGY INC
2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.586102719,CITY OF CHENEY - (WA)
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.64652568,PUGET SOUND ENERGY INC
2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.734138973,PUD NO 1 OF CHELAN COUNTY
2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.202416918,PACIFICORP
2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PUGET SOUND ENERGY INC
2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.084592145,PACIFICORP
2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.096676737,PUGET SOUND ENERGY INC
2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.954682779,AVISTA CORP
2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.785498489,PUGET SOUND ENERGY INC
2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.045317221,PACIFICORP
2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.854984894,PUGET SOUND ENERGY INC
2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.703927492,PUGET SOUND ENERGY INC
2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.045317221,PACIFICORP
2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.024169184,PACIFICORP
2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.045317221,PACIFICORP
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,AVISTA CORP
2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.060422961,PACIFICORP
2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.039274924,AVISTA CORP
2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.202416918,AVISTA CORP
2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.438066465,PUD NO 1 OF CHELAN COUNTY
2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.954682779,PUGET SOUND ENERGY INC
2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.045317221,PUGET SOUND ENERGY INC
2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.432024169,PUGET SOUND ENERGY INC
2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.208459215,PUGET SOUND ENERGY INC
2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.317220544,PUGET SOUND ENERGY INC
2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,PUGET SOUND ENERGY INC
2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.764350453,PUGET SOUND ENERGY INC
2011,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.087613293,PUGET SOUND ENERGY INC
2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.039274924,PUGET SOUND ENERGY INC
2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.785498489,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,MODERN ELECTRIC WATER COMPANY
2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PUGET SOUND ENERGY INC
2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.598187311,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PUGET SOUND ENERGY INC
2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.610271903,PUGET SOUND ENERGY INC
2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.141993958,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.317220544,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.700906344,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.096676737,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2016,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.021148036,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PUGET SOUND ENERGY INC
2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.432024169,PUGET SOUND ENERGY INC
2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.232628399,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.438066465,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.64652568,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY
2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.700906344,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.616314199,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY
2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.024169184,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.64652568,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.64652568,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.867069486,PUGET SOUND ENERGY INC
2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.045317221,AVISTA CORP
2017,MERCEDES-BENZ,S-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.018126888,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.438066465,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.208459215,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,PUGET SOUND ENERGY INC
2011,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.087613293,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.021148036,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.202416918,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
2015,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.024169184,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA)
2016,SMART,FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.187311178,PUGET SOUND ENERGY INC
2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.978851964,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.141993958,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.096676737,PUGET SOUND ENERGY INC
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,PUGET SOUND ENERGY INC
2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.057401813,PUGET SOUND ENERGY INC
2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.057401813,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.854984894,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.042296073,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.033232628,PUGET SOUND ENERGY INC
2015,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.229607251,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.232628399,PUGET SOUND ENERGY INC
2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.305135952,PUGET SOUND ENERGY INC
2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.078549849,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA)
2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.616314199,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.305135952,PUGET SOUND ENERGY INC
2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.087613293,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.610271903,PUGET SOUND ENERGY INC
2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.86102719,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.19939577,PUGET SOUND ENERGY INC
2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.854984894,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.108761329,PUGET SOUND ENERGY INC
2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.141993958,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2016,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.226586103,MODERN ELECTRIC WATER COMPANY
2014,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.226586103,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.305135952,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.045317221,PUGET SOUND ENERGY INC
2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.036253776,PUD NO 1 OF DOUGLAS COUNTY
2020,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.048338369,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.072507553,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0,PUGET SOUND ENERGY INC
2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.700906344,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.610271903,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2020,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.042296073,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2020,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.362537764,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.432024169,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.202416918,AVISTA CORP
2017,HYUNDAI,SONATA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.063444109,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
